time,sv,doppler
2026-01-11 00:00:00.000,G01,-2593.314
2026-01-11 00:00:00.000,G12,-383.126
2026-01-11 00:00:02.000,G01,-2593.983
2026-01-11 00:00:02.000,G12,-384.365
2026-01-11 00:00:04.000,G01,-2595.105
2026-01-11 00:00:04.000,G12,-385.871
2026-01-11 00:00:06.000,G01,-2595.567
2026-01-11 00:00:06.000,G12,-386.911
2026-01-11 00:00:08.000,G01,-2596.394
2026-01-11 00:00:08.000,G12,-388.075
2026-01-11 00:00:10.000,G01,-2595.995
2026-01-11 00:00:10.000,G12,-388.16
2026-01-11 00:00:12.000,G01,-2598.048
2026-01-11 00:00:12.000,G12,-390.938
2026-01-11 00:00:14.000,G01,-2598.372
2026-01-11 00:00:14.000,G12,-391.484
2026-01-11 00:00:16.000,G01,-2599.002
2026-01-11 00:00:16.000,G12,-392.609
2026-01-11 00:00:18.000,G01,-2600.379
2026-01-11 00:00:18.000,G12,-394.699
2026-01-11 00:00:20.000,G01,-2601.843
2026-01-11 00:00:20.000,G12,-396.224
2026-01-11 00:00:22.000,G01,-2603.292
2026-01-11 00:00:22.000,G12,-398.496
2026-01-11 00:00:24.000,G01,-2603.46
2026-01-11 00:00:24.000,G12,-399.036
2026-01-11 00:00:26.000,G01,-2604.944
2026-01-11 00:00:26.000,G12,-401.069
2026-01-11 00:00:28.000,G01,-2605.204
2026-01-11 00:00:28.000,G12,-401.869
2026-01-11 00:00:30.000,G01,-2607.015
2026-01-11 00:00:30.000,G12,-404.038
2026-01-11 00:00:32.000,G01,-2607.453
2026-01-11 00:00:32.000,G12,-404.88
2026-01-11 00:00:34.000,G01,-2607.411
2026-01-11 00:00:34.000,G12,-405.464
2026-01-11 00:00:36.000,G01,-2608.997
2026-01-11 00:00:36.000,G12,-407.277
2026-01-11 00:00:38.000,G01,-2608.623
2026-01-11 00:00:38.000,G12,-407.808
2026-01-11 00:00:40.000,G01,-2610.74
2026-01-11 00:00:40.000,G12,-410.507
2026-01-11 00:00:42.000,G01,-2610.861
2026-01-11 00:00:42.000,G12,-411.073
2026-01-11 00:00:44.000,G01,-2611.434
2026-01-11 00:00:44.000,G12,-412.077
2026-01-11 00:00:46.000,G01,-2613.419
2026-01-11 00:00:46.000,G12,-414.616
2026-01-11 00:00:48.000,G01,-2611.634
2026-01-11 00:00:48.000,G12,-413.102
2026-01-11 00:00:50.000,G01,-2615.084
2026-01-11 00:00:50.000,G12,-416.924
2026-01-11 00:00:52.000,G01,-2615.385
2026-01-11 00:00:52.000,G12,-418.14
2026-01-11 00:00:54.000,G01,-2616.458
2026-01-11 00:00:54.000,G12,-419.303
2026-01-11 00:00:56.000,G01,-2618.149
2026-01-11 00:00:56.000,G12,-421.268
2026-01-11 00:00:58.000,G01,-2617.671
2026-01-11 00:00:58.000,G12,-421.566
2026-01-11 00:01:00.000,G01,-2618.639
2026-01-11 00:01:00.000,G12,-423.216
2026-01-11 00:01:02.000,G01,-2618.726
2026-01-11 00:01:02.000,G12,-423.651
2026-01-11 00:01:04.000,G01,-2620.419
2026-01-11 00:01:04.000,G12,-425.88
2026-01-11 00:01:06.000,G01,-2622.264
2026-01-11 00:01:06.000,G12,-428.196
2026-01-11 00:01:08.000,G01,-2621.858
2026-01-11 00:01:08.000,G12,-428.023
2026-01-11 00:01:10.000,G01,-2622.539
2026-01-11 00:01:10.000,G12,-429.476
2026-01-11 00:01:12.000,G01,-2623.622
2026-01-11 00:01:12.000,G12,-430.743
2026-01-11 00:01:14.000,G01,-2624.781
2026-01-11 00:01:14.000,G12,-432.396
2026-01-11 00:01:16.000,G01,-2625.36
2026-01-11 00:01:16.000,G12,-433.365
2026-01-11 00:01:18.000,G01,-2626.737
2026-01-11 00:01:18.000,G12,-435.517
2026-01-11 00:01:20.000,G01,-2627.016
2026-01-11 00:01:20.000,G12,-436.132
2026-01-11 00:01:22.000,G01,-2627.271
2026-01-11 00:01:22.000,G12,-436.97
2026-01-11 00:01:24.000,G01,-2629.135
2026-01-11 00:01:24.000,G12,-439.296
2026-01-11 00:01:26.000,G01,-2629.878
2026-01-11 00:01:26.000,G12,-440.599
2026-01-11 00:01:28.000,G01,-2630.494
2026-01-11 00:01:28.000,G12,-441.977
2026-01-11 00:01:30.000,G01,-2630.244
2026-01-11 00:01:30.000,G12,-442.104
2026-01-11 00:01:32.000,G01,-2631.943
2026-01-11 00:01:32.000,G12,-444.245
2026-01-11 00:01:34.000,G01,-2634.051
2026-01-11 00:01:34.000,G12,-446.793
2026-01-11 00:01:36.000,G01,-2634.309
2026-01-11 00:01:36.000,G12,-447.676
2026-01-11 00:01:38.000,G01,-2634.106
2026-01-11 00:01:38.000,G12,-448.088
2026-01-11 00:01:40.000,G01,-2635.485
2026-01-11 00:01:40.000,G12,-449.772
2026-01-11 00:01:42.000,G01,-2636.184
2026-01-11 00:01:42.000,G12,-450.894
2026-01-11 00:01:44.000,G01,-2638.094
2026-01-11 00:01:44.000,G12,-453.234
2026-01-11 00:01:46.000,G01,-2638.667
2026-01-11 00:01:46.000,G12,-454.489
2026-01-11 00:01:48.000,G01,-2638.903
2026-01-11 00:01:48.000,G12,-455.179
2026-01-11 00:01:50.000,G01,-2638.839
2026-01-11 00:01:50.000,G12,-455.546
